player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Jeff Laidig,Guard,76.0,210,Penn HS,Belmont,2016,4,124.0,0.6,0.8,0.3,21.4,21.0,85.2,29.2,3.9,0.5
Howard Laidlaw,,,,,Rice,1974,1,27.0,3.5,3.3,0.6,35.4,,67.5,,,
Jacob Lail,Forward,80.0,215,,Appalachian State,2011,2,18.0,0.5,0.8,0.1,25.0,,50.0,25.0,-0.7,-0.1
Bill Laimbeer,,,,,Notre Dame,1979,4,98.0,7.6,6.4,1.0,54.3,,69.5,,,
Brian Laing,Guard,77.0,196,,Seton Hall,2008,4,114.0,11.5,4.9,1.6,44.5,34.9,76.3,47.7,,8.7
Michael Laing,,,,,Dayton,2008,1,3.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
Nathan Laing,Guard,72.0,165,Harnett Central HS,Jacksonville State and UCF,2017,2,40.0,0.6,0.7,0.6,14.0,4.2,66.7,15.1,-2.9,-0.3
Rodger Laing,Forward,77.0,196,,Brooklyn,1989,3,66.0,9.0,4.9,0.8,53.9,,57.3,,,
Rodget Laing,Forward,77.0,196,,Brooklyn,1987,1,28.0,5.0,3.7,0.2,47.3,0.0,50.7,47.3,,
Shawn Laio,Guard,67.0,170,,LIU-Brooklyn,1995,2,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
Tony Laiolo,Forward,79.0,201,,UCSB,1969,1,15.0,2.3,0.9,,48.3,,63.6,,,
Andre Laird,Guard,73.0,185,,Ole Miss,1985,2,54.0,3.7,1.1,2.6,37.4,,60.0,,,
Daniel Laird,,,,,Georgia,2003,1,2.0,1.5,1.0,0.5,50.0,100.0,,75.0,,0.0
Donald Laird,Center,80.0,203,,Maryland-Eastern Shore,1984,2,52.0,4.5,5.0,,41.1,,62.3,,,
Eric Laird,Guard,76.0,193,,Ole Miss,1985,4,110.0,12.9,2.2,1.8,46.9,,73.8,,,
Joe Laird,Guard,61.0,180,,South Carolina,1963,3,30.0,0.3,,,27.3,,,,,
Preston Laird,Guard,75.0,183,,Memphis,2012,4,38.0,0.7,0.2,0.1,28.6,33.3,62.5,35.7,,0.1
Adam Laitsas,Guard,75.0,190,,St. John's (NY),2007,1,3.0,0.0,0.3,0.0,0.0,0.0,,0.0,,-0.1
Bob Lakata,,,,,Duke,1958,3,68.0,6.3,5.8,,39.3,,65.7,,,
Don Lakata,,,,,Wichita State,1955,1,15.0,8.7,8.3,,46.3,,55.6,,,
Andy Lake,Guard,75.0,190,,Marist,1993,3,84.0,12.6,2.8,1.8,42.8,40.3,83.8,53.5,,
Andy Lake,Guard,75.0,190,,Marist,1990,2,33.0,7.7,2.0,1.6,47.3,50.0,79.4,54.0,,
Bill Lake,Center,73.0,211,,North Carolina State,1975,2,29.0,1.3,1.4,,30.8,,59.1,,,
Bill Lake,Center,73.0,211,,Miami (OH),1978,2,48.0,3.5,1.8,0.5,49.3,,64.1,,,
Brent Lake,Guard,74.0,188,,West Texas A&M,1973,3,74.0,6.0,2.9,,38.7,,,,,
Brian Lake,Forward,78.0,198,,Middle Tennessee,2006,2,18.0,5.4,3.3,0.4,43.8,28.6,68.2,46.1,,0.6
Deane Lake,Center,73.0,208,,Air Force,2003,1,4.0,1.2,0.8,0.0,66.7,50.0,0.0,83.3,,0.1
Devon Lake,Guard,75.0,190,,Southeast Missouri State,1993,2,50.0,16.7,3.1,1.7,45.5,34.6,80.1,50.7,,
Frank Lake,Forward,,,,Loyola (IL),1948,1,10.0,3.0,,,,,,,,
