player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Howard Newkirk,Guard,,,,Alcorn State,1998,1,8.0,1.0,1.4,0.1,30.0,,100.0,30.0,,0.0
Josh Newkirk,Guard,73.0,185,Word of God Academy,Pitt and Indiana,2017,3,104.0,6.5,1.9,2.5,42.3,36.7,62.2,49.1,10.7,4.1
Shavar Newkirk,Guard,72.0,170,Cardinal Hayes HS,St. Joseph's,2017,3,79.0,8.0,2.5,2.6,38.4,30.8,73.6,43.0,13.9,4.1
Alex Newlin,Forward,77.0,215,,Southern Illinois-Edwardsville,2011,2,20.0,0.8,0.5,0.0,42.9,28.6,50.0,50.0,,
Charles Newlin,Forward,79.0,201,,Georgia State,1974,1,12.0,8.2,4.9,,36.2,,50.0,,,
Mike Newlin,Guard,76.0,200,,Utah,1971,3,80.0,23.1,7.4,,45.3,,83.4,,,
Ed Newlon,,,,,Loyola Marymount,1967,1,6.0,0.5,0.2,,50.0,,100.0,,,
Andy Newman,Guard,,,,Southern Utah,1997,1,26.0,8.0,2.3,3.7,38.9,31.1,80.5,47.6,,1.4
Bernard Newman,Forward,77.0,196,,Miami (OH),1978,4,95.0,4.2,2.4,,45.4,,65.7,,,
Bill Newman,Center,78.0,198,,Western Kentucky,1967,1,5.0,1.0,0.6,,25.0,,50.0,,,
Bob Newman,Forward,74.0,188,,Lafayette,1968,1,14.0,1.9,0.7,,36.4,,61.1,,,
Clint Newman,Guard,74.0,188,,Tennessee,1996,3,18.0,0.4,0.4,0.1,33.3,,,33.3,,
Dan Newman,Center,81.0,206,,Gonzaga,1974,2,51.0,2.9,2.1,,42.9,,63.0,,,
David Newman,Guard,61.0,180,,Northwestern and Drake,2003,4,116.0,5.2,1.5,2.3,32.8,34.5,82.3,44.8,,2.4
Don Newman,Guard,75.0,190,,Idaho,1980,2,52.0,17.9,3.4,5.4,48.9,,73.3,,,
Donald Newman,Forward,78.0,198,,Arkansas-Little Rock,1984,4,107.0,9.0,6.7,0.7,53.0,,63.7,,,
Donald Newman,Guard,73.0,185,,LSU,1976,1,24.0,5.5,2.3,,38.9,,58.9,,,
Earl Newman,,,,,Illinois,1954,1,4.0,0.5,,,,,50.0,,,
Ed Newman,Forward,80.0,203,,Fairfield,1990,3,41.0,1.5,2.5,,44.7,,76.0,44.7,,
Erick Newman,Forward,76.0,193,,Saint Mary's (CA),1989,2,55.0,12.5,6.1,2.7,59.9,,70.1,59.9,,
Everette Newman,,,,,South Carolina,1959,1,7.0,1.7,0.3,,28.6,,,,,
Gary Newman,Guard,75.0,190,,Yale,1976,3,37.0,4.6,2.0,1.1,49.7,,,,,
Greg Newman,Guard,75.0,190,,Drexel,1974,2,41.0,17.1,,,45.4,,75.1,,,
Gregory Newman,Guard,75.0,190,,Drexel,1973,1,21.0,15.2,,,44.7,,72.4,,,
Howard Newman,,,,,Yale,1967,1,4.0,,,,,,,,,
Jake Newman,Guard,79.0,196,White Rock Christian/The Hun School (NJ),Lafayette,2015,2,29.0,0.6,0.4,0.3,46.2,40.0,40.0,53.8,4.1,0.0
James Newman,Guard,74.0,188,,Central Michigan,1980,2,50.0,6.0,1.4,,42.6,,74.0,,,
James Newman,Forward,79.0,201,,Memphis,1996,1,26.0,1.7,1.6,0.3,42.6,0.0,50.0,42.6,,0.4
Jeremiah Newman,,,,,South Alabama,1993,1,4.0,0.0,0.2,0.0,,,,,,
Jerry Newman,,,,,Oklahoma,1954,2,24.0,,,,,,,,,
Jim Newman,Guard,,,,Arizona State,1958,2,37.0,15.6,3.4,,47.3,,66.0,,,
Joe Newman,Center,73.0,208,,Temple,1974,3,80.0,10.4,7.8,,46.5,,63.3,,,
John Newman,Forward,77.0,196,,James Madison,1987,4,104.0,11.1,5.2,1.6,48.8,,73.7,,,
Johnny Newman,,,,,Richmond,1984,2,122.0,19.5,5.5,1.0,53.2,,80.0,,,
Joseph Newman,Forward,73.0,185,,Jacksonville,2007,2,33.0,2.2,1.0,0.6,38.2,22.2,52.2,39.5,,-0.3
Karmari Newman,Guard,76.0,170,East English Village Preparatory Academy,George Mason,2017,1,31.0,4.7,1.2,0.4,35.9,33.0,82.4,46.1,7.8,0.7
Kevin Newman,,,,,Lamar,1987,1,13.0,0.6,0.8,,25.0,,66.7,25.0,,
Malik Newman,Guard,75.0,178,Callaway HS,Mississippi State and Kansas,2016,1,29.0,11.3,2.8,2.2,39.1,37.9,68.7,49.8,12.4,1.4
Mark Newman,Forward,80.0,203,,Middle Tennessee,1992,1,4.0,2.2,1.8,1.2,33.3,33.3,100.0,41.7,,
Matt Newman,Center,,,,Citadel,1998,4,108.0,11.5,6.2,0.5,49.6,,66.8,49.6,,
Paul Newman,Forward,78.0,198,,Delaware State,1991,4,111.0,13.4,5.6,2.2,50.9,32.2,60.6,52.6,,
Paul Newman,Forward,80.0,203,,North Carolina-Wilmington,1985,1,26.0,2.8,1.9,0.7,34.8,,73.3,,,
Paul Newman,Forward,80.0,203,,Marquette,1983,1,12.0,1.5,1.0,0.2,53.8,,80.0,,,
Roger Newman,Forward,,,,Kentucky,1961,1,28.0,14.2,9.5,,38.2,,70.6,,,
Scott Newman,Forward,,,,Eastern Illinois,1998,2,32.0,2.0,2.2,0.2,57.8,,54.2,57.8,,0.8
Scott Newman,Guard,61.0,178,,Western Carolina,1992,1,23.0,4.4,1.2,2.0,34.5,33.3,78.6,39.1,,
Sean Newman,Guard,76.0,193,,Eastern Washington,1990,2,38.0,3.2,1.8,1.0,36.9,20.0,50.7,37.8,,
Sean Newman,,,,,San Jose State,1986,1,13.0,1.6,0.5,0.6,34.8,,36.4,,,
Sonny Newman,Guard,74.0,188,,Central Michigan,1981,2,54.0,6.9,1.6,4.0,51.4,,75.0,,,
Steve Newman,Forward,81.0,206,,Georgia,2007,4,118.0,5.1,2.8,0.9,42.2,30.2,75.9,47.0,,4.5
Tim Newman,,,,,Purdue,1974,1,,,,,,,,,,
