player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Stefan Zecevic,Guard,78.0,200,Lee Academy (ME),Bradley,2014,1,22.0,3.5,0.5,0.6,0.1,0.0,0.2,0.4,41.7,0.0,20.0,41.7,1.7,-0.1
Gene Zech,Center,78.0,198,,Loyola Marymount and UC-Irvine,1969,2,17.0,,1.5,1.8,,,,,44.4,,,,,
Patrick Zeck,Forward,79.0,225,Marist School,Gardner-Webb,2017,1,19.0,5.7,1.4,1.3,0.2,0.3,0.2,0.2,66.7,,75.0,66.7,15.5,0.5
Tyler Zegarzewski,Forward,78.0,205,Chariho Regional,Campbell,2013,2,6.0,2.0,1.3,0.2,0.2,0.2,0.0,0.0,75.0,66.7,,100.0,41.9,0.1
Joe Zeglinski,Guard,72.0,185,,Hartford,2010,4,135.0,36.8,14.9,4.5,1.9,1.1,0.2,1.8,37.9,34.5,69.0,48.7,,9.1
Sammy Zeglinski,Guard,73.0,184,,Virginia,2011,4,121.0,29.2,7.8,3.1,2.6,1.3,0.1,1.8,36.9,35.2,67.4,48.1,,7.9
Zack Zeglinski,Guard,61.0,180,,Hartford,2010,1,7.0,5.9,1.3,1.1,0.9,0.3,0.0,0.3,27.3,0.0,50.0,27.3,10.3,0.0
Andrew Zehnder,Guard,75.0,190,,Colorado,2009,2,16.0,,0.8,0.2,0.2,0.1,0.1,0.1,62.5,50.0,25.0,68.8,,0.1
Todd Zehner,Guard,,,,Florida,1991,2,,,,,,,,,,,,,,
John Zeides,Guard,73.0,185,,Xavier,1969,3,60.0,,9.7,2.0,2.0,,,,45.4,,66.7,,,
_ Zeiff,,,,,Vermont,1970,1,,,,,,,,,,,,,,
_ Zeiff,,,,,Vermont,1969,1,,,,,,,,,,,,,,
Dick Zeiger,Forward,77.0,196,,Wisconsin,1956,2,36.0,,3.1,3.4,,,,,35.6,,65.5,,,
