Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Ryan Anderson,HOU,"$19,578,455 ","$20,421,546 ","$21,264,635 ",,,,Cap Space,"$61,264,636 "
Eric Gordon,HOU,"$12,943,020 ","$13,500,375 ","$14,057,730 ",,,,Cap Space,"$40,501,125 "
P.J. Tucker,HOU,"$7,590,035 ","$7,969,537 ","$8,349,039 ","$7,969,537 ",,,MLE,"$26,477,799 "
Trevor Ariza,HOU,"$7,420,912 ",,,,,,Bird Rights,"$7,420,912 "
Nene Hilario,HOU,"$3,477,600 ","$3,651,480 ","$3,825,360 ",,,,Non-Bird Rights,"$10,954,440 "
Tarik Black,HOU,"$3,290,000 ",,,,,,Bi-annual Exception,"$3,290,000 "
Clint Capela,HOU,"$2,334,520 ",,,,,,1st Round Pick,"$2,334,520 "
Luc Mbah a Moute,HOU,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Troy Williams,HOU,"$1,471,382 ","$1,544,951 ","$1,676,735 ",,,,Non-Bird Rights,"$1,926,316 "
Chinanu Onuaku,HOU,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$2,857,562 "
Shawn Long,HOU,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,
Tim Quarterman,HOU,"$1,312,611 ",,,,,,Minimum Salary,
Isaiah Taylor,HOU,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,
Zhou Qi,HOU,"$815,615 ","$1,378,242 ","$1,618,520 ","$1,752,950 ",,,MLE,"$815,615 "
Cameron Oliver,HOU,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$300,000 "
Dwight Howard,CHO,"$23,500,000 ","$23,819,725 ",,,,,Cap Space,"$47,319,725 "
Nicolas Batum,CHO,"$22,434,783 ","$24,000,000 ","$25,565,217 ","$27,130,434 ",,,Cap Space,"$72,000,000 "
Marvin Williams,CHO,"$13,168,750 ","$14,087,500 ","$15,006,250 ",,,,Cap Space,"$27,256,250 "
Michael Kidd-Gilchrist,CHO,"$13,000,000 ","$13,000,000 ","$13,000,000 ",,,,1st Round Pick,"$26,000,000 "
