player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
_ MacKinnon,,,,,Canisius,1948,1,,,,,,,,,,
Jesse Mackinson,Center,80.0,203,,Eastern Illinois,2004,4,118.0,8.6,4.8,0.9,47.7,9.1,76.2,47.8,,5.7
Bob Mackish,Forward,75.0,190,,Kansas,1949,1,1.0,,,,,,,,,
Daijon Macklien,Guard,73.0,195,Auburn (AL),Arkansas State,2015,1,23.0,2.0,0.9,0.8,43.9,38.5,66.7,50.0,4.3,0.0
Brandon Macklin,Forward,80.0,203,,Charleston Southern,2008,2,39.0,3.9,3.3,0.7,43.3,50.0,52.6,43.6,,0.5
Dan Macklin,Forward,73.0,185,,Miami (OH),1950,2,28.0,5.0,,,26.4,,,,,
Danyell Macklin,Forward,80.0,203,,Western Kentucky and Fresno State,1997,2,39.0,5.2,3.6,0.5,39.7,23.5,58.9,42.7,,
David Macklin,Guard,69.0,175,,Penn State,1997,1,15.0,0.9,0.7,0.6,17.6,0.0,63.6,17.6,,-0.2
Durand Macklin,Forward,79.0,201,,LSU,1980,4,123.0,16.9,10.4,,59.5,,67.4,,,
Gerry Macklin,,,,,Fordham,1963,1,11.0,1.6,0.5,,100.0,,40.0,,,
Joe Macklin,Guard,61.0,180,,Colorado State,2002,1,27.0,4.0,3.3,3.1,34.7,25.9,67.4,38.1,,0.4
Joseph Macklin,Guard,73.0,185,,UTSA,2000,1,5.0,0.6,0.0,0.0,50.0,0.0,50.0,50.0,,0.0
Ken Macklin,Guard,74.0,188,,Florida State,1970,1,26.0,10.9,2.4,0.9,46.6,,89.5,,,
Oliver Macklin,Guard,76.0,193,,UConn,1993,3,35.0,,0.6,,,,,,,
Oliver Macklin,Guard,74.0,188,,UConn,1990,1,20.0,0.7,,,45.5,50.0,66.7,50.0,,
